iter	Passed	Remaining
705	3829	1594
706	3839	1591
707	3843	1585
708	3847	1579
709	3853	1574
710	3857	1567
711	3862	1562
712	3865	1555
713	3868	1549
714	3871	1543
715	3874	1536
716	3876	1530
717	3883	1525
718	3887	1519
719	3890	1513
720	3902	1510
721	3917	1508
722	3920	1501
723	3929	1497
724	3934	1492
725	3938	1486
726	3944	1481
727	3947	1474
728	3951	1468
729	3960	1464
730	3965	1459
731	3973	1454
732	3980	1449
733	3985	1444
734	3992	1439
735	3995	1433
736	3998	1426
737	4003	1421
738	4007	1415
739	4009	1408
740	4013	1402
741	4017	1396
742	4021	1390
743	4029	1386
744	4032	1380
745	4035	1373
746	4038	1367
747	4043	1362
748	4047	1356
749	4050	1350
750	4054	1344
751	4058	1338
752	4062	1332
753	4065	1326
754	4069	1320
755	4073	1314
756	4075	1308
757	4078	1302
758	4081	1295
759	4083	1289
760	4087	1283
761	4089	1277
762	4093	1271
763	4096	1265
764	4099	1259
765	4106	1254
766	4109	1248
767	4116	1243
768	4120	1237
769	4122	1231
770	4126	1225
771	4131	1220
772	4136	1214
773	4140	1208
774	4146	1203
775	4151	1198
776	4155	1192
777	4162	1187
778	4166	1182
779	4169	1176
780	4177	1171
781	4180	1165
782	4183	1159
783	4189	1154
784	4194	1148
785	4198	1143
786	4201	1137
787	4205	1131
788	4209	1125
789	4214	1120
790	4218	1114
791	4221	1108
792	4226	1103
793	4230	1097
794	4235	1092
795	4239	1086
796	4243	1080
797	4248	1075
798	4252	1069
799	4256	1064
800	4259	1058
801	4266	1053
802	4270	1047
803	4275	1042
804	4283	1037
805	4290	1032
806	4295	1027
807	4299	1021
808	4303	1015
809	4306	1010
810	4313	1005
811	4317	999
812	4321	993
813	4327	988
814	4331	983
815	4334	977
816	4340	972
817	4345	966
818	4349	961
819	4355	956
820	4358	950
821	4362	944
822	4365	938
823	4371	933
824	4376	928
825	4380	922
826	4386	917
827	4390	912
828	4394	906
829	4397	900
830	4402	895
831	4406	889
832	4408	883
833	4412	878
834	4417	872
835	4420	867
836	4424	861
837	4428	856
838	4433	850
839	4436	845
840	4440	839
841	4443	833
842	4447	828
843	4451	822
844	4454	817
845	4459	811
846	4463	806
847	4466	800
848	4469	794
849	4473	789
850	4476	783
851	4480	778
852	4483	772
853	4486	767
854	4492	761
855	4495	756
856	4499	750
857	4506	745
858	4510	740
859	4515	735
860	4520	729
861	4524	724
862	4531	719
863	4538	714
864	4541	708
865	4544	703
866	4550	697
867	4553	692
868	4556	686
869	4559	681
870	4565	676
871	4569	670
872	4573	665
873	4579	660
874	4582	654
875	4586	649
876	4589	643
877	4595	638
878	4599	633
879	4602	627
880	4607	622
881	4612	617
882	4617	611
883	4621	606
884	4624	600
885	4633	596
886	4637	590
887	4640	585
888	4644	579
889	4649	574
890	4652	569
891	4656	563
892	4660	558
893	4664	553
894	4670	547
895	4679	543
896	4682	537
897	4685	532
898	4688	526
899	4691	521
900	4694	515
901	4697	510
902	4700	504
903	4706	499
904	4710	494
905	4712	488
906	4716	483
907	4719	478
908	4723	472
909	4726	467
910	4729	462
911	4733	456
912	4736	451
913	4739	445
914	4743	440
915	4746	435
916	4750	430
917	4754	424
918	4756	419
919	4760	413
920	4765	408
921	4769	403
922	4772	398
923	4775	392
924	4784	387
925	4788	382
926	4792	377
927	4796	372
928	4799	366
929	4802	361
930	4805	356
931	4810	351
932	4814	345
933	4817	340
934	4820	335
935	4825	329
936	4830	324
937	4833	319
938	4838	314
939	4841	309
940	4845	303
941	4848	298
942	4854	293
943	4857	288
944	4860	282
945	4866	277
946	4871	272
947	4876	267
948	4881	262
949	4886	257
950	4889	251
951	4893	246
952	4896	241
953	4900	236
954	4904	231
955	4907	225
956	4914	220
957	4920	215
958	4923	210
959	4929	205
960	4934	200
961	4937	195
962	4943	189
963	4946	184
964	4949	179
965	4953	174
966	4962	169
967	4966	164
968	4969	158
969	4974	153
970	4979	148
971	4982	143
972	4985	138
973	4990	133
974	4993	128
975	4996	122
976	4998	117
977	5003	112
978	5006	107
979	5009	102
980	5012	97
981	5018	91
982	5022	86
983	5025	81
984	5027	76
985	5032	71
986	5037	66
987	5040	61
988	5043	56
989	5048	50
990	5051	45
991	5055	40
992	5057	35
993	5061	30
994	5065	25
995	5068	20
996	5071	15
997	5077	10
998	5080	5
999	5083	0
